Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Madhya Pradesh Style Puttu Classic,Madhya Pradesh,Breakfast,275,6.7,44.7,9.9,Veg
Puttu Homestyle With Papad,Karnataka,Breakfast,304,18.1,47.9,7.6,Veg
Keerai Missal,Tamil Nadu,Breakfast,428,19.4,69.5,13.5,Veg
Sandwich (Veg) Delight With Salad,Tripura,Breakfast,264,14.1,36.9,9.2,Veg
Vellari Dosa Special,Kerala,Breakfast,290,6.8,40.0,10.6,Veg
Karnataka Style Sevai Special,Karnataka,Breakfast,395,9.4,56.2,12.9,Veg
Kadala Vegetable Uttapam Special,Odisha,Breakfast,302,15.4,38.7,8.0,Veg
Khichdi And Roti,Telangana,Breakfast,252,12.4,40.9,9.8,Veg
Besan Chilla Delight With Salad,Karnataka,Breakfast,339,18.3,53.0,9.6,Veg
Bhaji Kuzhi Paniyaram Special,Maharashtra,Breakfast,385,6.1,59.0,10.5,Veg
Poha Special With Chutney,Manipur,Breakfast,440,13.7,55.5,14.2,Veg
Thepla Homestyle With Dal,Tripura,Breakfast,314,18.7,48.6,7.5,Veg
Odisha Style Paratha Delight,Odisha,Breakfast,413,19.7,49.8,12.2,Veg
Mui Kharan Special,Tripura,Breakfast,426,18.7,59.5,15.4,Veg
Besan Chilla Special With Curd,Chhattisgarh,Breakfast,328,11.1,52.2,12.6,Veg
Dhokla Special With Steamed Rice,Kerala,Breakfast,340,16.9,53.3,9.9,Veg
Pongal Delight With Roti,Jharkhand,Breakfast,355,6.3,53.0,9.9,Veg
Kharan Lite With Curd,Himachal Pradesh,Breakfast,277,11.4,31.7,8.3,Veg
Surti Kuzhi Paniyaram,Gujarat,Breakfast,307,6.3,37.5,8.5,Veg
Parathas Upma,Delhi,Breakfast,352,15.5,54.4,9.8,Veg
Sundakkai Poha,Tamil Nadu,Breakfast,259,7.5,34.8,8.9,Veg
Lauki Kharan Special,Uttar Pradesh,Breakfast,397,8.7,45.5,11.7,Veg
Besan Chilla Special With Poriyal,Goa,Breakfast,420,18.9,60.3,14.0,Veg
Gongura Khichdi Special,Andhra Pradesh,Breakfast,333,11.6,42.4,8.1,Veg
Missal Traditional With Rasam,Odisha,Breakfast,353,13.7,39.7,9.5,Veg
Saga Vegetable Uttapam Special,Odisha,Breakfast,363,15.5,50.1,12.9,Veg
Meghalaya Style Ragi Dosa Lite,Meghalaya,Breakfast,412,14.7,48.3,15.7,Veg
Khichdi Special With Curd,Rajasthan,Breakfast,261,9.4,35.6,9.5,Veg
Kuzhi Paniyaram And Raita,Karnataka,Breakfast,428,11.4,56.7,10.6,Veg
Tripura Style Idli Delight,Tripura,Breakfast,428,13.3,49.2,11.3,Veg
Poha And Roti,Delhi,Breakfast,420,13.4,59.0,11.6,Veg
Chhinam Kuzhi Paniyaram Special,Mizoram,Breakfast,364,18.6,54.5,11.0,Veg
Chhole Puttu,Punjab,Breakfast,311,9.8,36.2,8.4,Veg
Chhole Thepla,Punjab,Breakfast,288,9.2,42.4,9.8,Veg
Kharan And Dal,Karnataka,Breakfast,356,6.9,54.9,10.2,Veg
Mizoram Style Vegetable Uttapam Homestyle,Mizoram,Breakfast,251,19.2,32.0,7.2,Veg
Kand Kharan Special,Uttarakhand,Breakfast,306,12.8,38.6,9.3,Veg
Thepla And Papad,Bihar,Breakfast,409,13.5,64.6,13.1,Veg
Manipur Style Idli Homestyle,Manipur,Breakfast,296,6.7,38.9,7.6,Veg
Thepla And Roti,Uttar Pradesh,Breakfast,314,17.7,42.7,10.9,Veg
Dhokla Lite With Roti,Kerala,Breakfast,260,16.6,41.6,6.6,Veg
Sevai Homestyle With Curd,Tamil Nadu,Breakfast,421,7.6,67.3,12.6,Veg
Dhokla Lite With Rasam,Punjab,Breakfast,433,7.6,66.5,16.6,Veg
Andhra Pradesh Style Vegetable Uttapam Lite,Andhra Pradesh,Breakfast,346,11.6,51.3,8.1,Veg
Tripura Style Puttu Classic,Tripura,Breakfast,280,17.1,39.4,6.4,Veg
Haakh Kharan,Jammu and Kashmir,Breakfast,337,6.2,45.0,10.2,Veg
Dhokla And Poriyal,Odisha,Breakfast,437,13.3,63.4,14.2,Veg
Besan Chilla And Poriyal,Himachal Pradesh,Breakfast,401,9.8,62.2,14.5,Veg
Paratha And Roti,Karnataka,Breakfast,395,14.5,51.9,9.0,Veg
Thepla Traditional With Raita,Delhi,Breakfast,316,10.8,49.5,10.7,Veg
Punjab Style Besan Chilla Special,Punjab,Breakfast,311,16.1,42.6,10.8,Veg
Sandwich (Veg) And Roti,Tripura,Breakfast,273,10.1,36.2,7.2,Veg
Kang Vegetable Uttapam,Manipur,Breakfast,338,12.0,50.6,9.4,Veg
Bora Kuzhi Paniyaram,Tripura,Breakfast,280,16.1,35.9,9.7,Veg
Ragi Dosa Homestyle With Chapati,Mizoram,Breakfast,320,16.1,51.6,9.9,Veg
Poha Traditional With Raita,Haryana,Breakfast,295,10.2,43.6,7.2,Veg
Kakka Dosa Special,Kerala,Breakfast,413,18.2,56.6,15.2,Veg
Khichdi And Papad,Chhattisgarh,Breakfast,297,19.5,37.2,10.9,Veg
Upma And Chutney,Andhra Pradesh,Breakfast,411,15.6,49.4,14.7,Veg
Upma Homestyle With Dal,Haryana,Breakfast,405,14.3,58.1,14.2,Veg
Kuzhi Paniyaram And Rasam,Bihar,Breakfast,328,14.0,37.9,12.5,Veg
Appam Special With Steamed Rice,Andhra Pradesh,Breakfast,290,9.4,40.6,7.2,Veg
Chana Kuzhi Paniyaram Special,Odisha,Breakfast,309,10.0,39.1,11.3,Veg
Kosambari Puttu,Karnataka,Breakfast,358,7.6,44.3,8.8,Veg
Punjab Style Pongal Traditional,Punjab,Breakfast,402,16.5,56.7,10.9,Veg
Bendakaya Kuzhi Paniyaram,Andhra Pradesh,Breakfast,388,12.9,45.2,8.9,Veg
Saga Thepla Special,Odisha,Breakfast,308,19.5,47.5,9.8,Veg
Vellarikai Paratha Special,Tamil Nadu,Breakfast,370,13.3,49.8,9.9,Veg
Kharan And Papad,Chhattisgarh,Breakfast,354,10.7,51.7,12.9,Veg
Kharan And Steamed Rice,Uttar Pradesh,Breakfast,444,13.7,60.0,12.2,Veg
Poha And Sambar,Uttar Pradesh,Breakfast,388,12.5,44.7,12.0,Veg
Sandwich (Veg) And Raita,Jharkhand,Breakfast,390,7.8,49.5,14.4,Veg
Assam Style Poha Delight,Assam,Breakfast,431,8.2,60.4,13.5,Veg
Karnataka Style Puttu Lite,Karnataka,Breakfast,289,13.0,42.9,8.9,Veg
Kharan And Raita,Punjab,Breakfast,391,8.0,47.7,12.6,Veg
Nagaland Style Pongal Homestyle,Nagaland,Breakfast,337,19.1,46.5,12.1,Veg
Chaulai Khichdi Special,Haryana,Breakfast,288,12.3,39.4,8.0,Veg
Besan Chilla And Pickle,Mizoram,Breakfast,428,9.3,56.3,15.6,Veg
Chana Dosa,Odisha,Breakfast,348,19.8,52.9,11.5,Veg
Telangana Style Sandwich (Veg) Classic,Telangana,Breakfast,334,18.2,52.2,9.9,Veg
Goa Style Kuzhi Paniyaram Lite,Goa,Breakfast,289,7.0,43.8,7.7,Veg
Jharkhand Style Missal Classic,Jharkhand,Breakfast,347,19.4,49.9,12.8,Veg
Assam Style Besan Chilla Delight,Assam,Breakfast,411,15.6,52.1,10.7,Veg
Karnataka Style Kharan Delight,Karnataka,Breakfast,427,10.2,48.7,11.8,Veg
Kakka Khichdi,Kerala,Breakfast,312,13.4,43.9,11.1,Veg
Maharashtra Style Ragi Dosa Classic,Maharashtra,Breakfast,424,9.4,67.1,10.4,Veg
Paratha And Steamed Rice,Madhya Pradesh,Breakfast,369,18.6,54.0,9.2,Veg
Dalpithi Dhokla Special,Madhya Pradesh,Breakfast,426,9.5,65.9,10.9,Veg
Bihar Style Sandwich (Veg) Classic,Bihar,Breakfast,341,14.0,55.3,9.3,Veg
Sarson Missal,Punjab,Breakfast,449,16.4,51.6,14.5,Veg
Khichdi Traditional With Roti,Assam,Breakfast,306,14.9,43.9,10.3,Veg
Thepla And Raita,Haryana,Breakfast,388,18.3,50.7,11.9,Veg
Makki Ragi Dosa,Punjab,Breakfast,441,18.2,67.3,13.2,Veg
Pongal Classic With Roti,Karnataka,Breakfast,343,7.3,45.4,9.1,Veg
Gongura Kuzhi Paniyaram,Andhra Pradesh,Breakfast,413,19.2,48.7,10.8,Veg
Kothavarangai Sevai Special,Tamil Nadu,Breakfast,415,6.9,63.8,15.5,Veg
Haryana Style Kharan Special,Haryana,Breakfast,327,19.9,38.7,8.5,Veg
Pongal And Pickle,Jammu and Kashmir,Breakfast,440,15.8,61.4,14.1,Veg
Pongal And Papad,Nagaland,Breakfast,354,19.1,44.8,11.9,Veg
Kuzhi Paniyaram And Pickle,Gujarat,Breakfast,425,11.1,67.0,14.0,Veg
Kosha Missal,Kerala,Breakfast,273,15.3,39.5,8.8,Veg
Sundakkai Dosa,Tamil Nadu,Breakfast,302,7.0,45.5,7.8,Veg
Bhinda Puttu,Gujarat,Breakfast,250,9.9,40.4,9.7,Veg
Paratha Special With Steamed Rice,Jammu and Kashmir,Breakfast,283,6.2,43.0,7.4,Veg
Idli Delight With Sambar,Uttar Pradesh,Breakfast,439,11.9,51.9,10.2,Veg
Tilkut Dhokla Special,Madhya Pradesh,Breakfast,378,9.1,54.2,13.0,Veg
Bhature Sattu Paratha,Himachal Pradesh,Breakfast,265,20.0,41.0,7.8,Veg
Sandwich (Veg) And Chutney,Andhra Pradesh,Breakfast,405,8.1,48.1,13.2,Veg
Chila Besan Chilla,Chhattisgarh,Breakfast,325,12.4,46.4,7.8,Veg
Mosdeng Poha Special,Tripura,Breakfast,308,11.8,47.4,8.9,Veg
Bamboo Poha,Nagaland,Breakfast,315,11.2,37.8,11.8,Veg
Karnataka Style Upma Special,Karnataka,Breakfast,440,16.3,67.4,13.9,Veg
Bore Besan Chilla Special,Chhattisgarh,Breakfast,355,11.0,51.7,12.3,Veg
Kulcha Dosa,Delhi,Breakfast,276,14.1,34.0,9.2,Veg
Vellarikka Poha,Rajasthan,Breakfast,445,9.9,55.1,13.1,Veg
Nadru Sevai Special,Jammu and Kashmir,Breakfast,418,17.6,52.6,10.5,Veg
Bora Khichdi,Tripura,Breakfast,286,13.9,37.9,7.0,Veg
Sikkim Style Idli Homestyle,Sikkim,Breakfast,357,12.4,43.0,9.8,Veg
Baingan Vegetable Uttapam Special,Uttar Pradesh,Breakfast,290,16.6,33.3,6.8,Veg
Kharan And Papad,Madhya Pradesh,Breakfast,319,9.0,44.1,8.9,Veg
Bendakaya Khichdi Special,Andhra Pradesh,Breakfast,328,6.6,43.4,10.6,Veg
Sundakkai Appam,Tamil Nadu,Breakfast,445,9.6,57.4,9.9,Veg
Kharan Classic With Poriyal,Nagaland,Breakfast,430,9.2,60.4,14.3,Veg
Upma And Poriyal,West Bengal,Breakfast,367,18.9,57.1,11.7,Veg
Missal And Chutney,Chhattisgarh,Breakfast,255,19.5,30.9,9.7,Veg
Madhya Pradesh Style Dhokla Delight,Madhya Pradesh,Breakfast,361,14.2,50.1,10.4,Veg
Thepla Delight With Roti,Haryana,Breakfast,269,13.1,31.8,8.3,Veg
Gahat Dhokla,Uttarakhand,Breakfast,287,9.6,34.8,7.1,Veg
Upma Classic With Papad,Mizoram,Breakfast,444,14.1,65.1,16.4,Veg
Gundruk Sevai,Sikkim,Breakfast,267,12.6,38.5,9.5,Veg
Badi Dosa,Chhattisgarh,Breakfast,368,12.3,42.4,13.3,Veg
Kosambari Upma Special,Karnataka,Breakfast,368,14.1,59.0,12.7,Veg
Kosha Kuzhi Paniyaram Special,Kerala,Breakfast,371,13.0,59.5,11.0,Veg
Meghalaya Style Thepla Delight,Meghalaya,Breakfast,260,9.5,34.9,7.7,Veg
Sevai Traditional With Pickle,Goa,Breakfast,349,11.7,45.2,11.2,Veg
Meghalaya Style Thepla Classic,Meghalaya,Breakfast,423,11.4,52.9,15.4,Veg
Sevai Classic With Chutney,Himachal Pradesh,Breakfast,419,8.0,54.5,16.1,Veg
Missal Special With Chapati,Tripura,Breakfast,329,13.8,47.6,9.1,Veg
Telangana Style Sattu Paratha Traditional,Telangana,Breakfast,254,11.1,30.9,6.6,Veg
Sandwich (Veg) Delight With Curd,Mizoram,Breakfast,269,10.1,40.9,8.3,Veg
Jammu And Kashmir Style Sattu Paratha Classic,Jammu and Kashmir,Breakfast,283,14.4,34.0,7.1,Veg
Sevai Homestyle With Sambar,Tripura,Breakfast,343,15.5,42.7,10.2,Veg
Kuzhi Paniyaram Traditional With Raita,Haryana,Breakfast,450,12.6,69.4,12.8,Veg
Kuzhi Paniyaram And Roti,Chhattisgarh,Breakfast,378,13.4,60.8,13.5,Veg
Sevai Lite With Sambar,Meghalaya,Breakfast,373,18.2,52.3,8.9,Veg
Delhi Style Sattu Paratha Delight,Delhi,Breakfast,319,12.3,44.1,11.5,Veg
Puttu And Sambar,Karnataka,Breakfast,263,11.6,34.5,7.5,Veg
Dhokla Special With Pickle,Karnataka,Breakfast,432,15.1,65.7,10.6,Veg
Sandwich (Veg) Classic With Papad,Haryana,Breakfast,251,18.7,28.5,6.5,Veg
Soppu Besan Chilla Special,Telangana,Breakfast,448,10.0,57.1,10.3,Veg
Sevai And Chutney,Odisha,Breakfast,402,13.5,57.9,12.8,Veg
Chakhwi Pongal,Tripura,Breakfast,340,9.4,45.3,11.3,Veg
Ragi Sattu Paratha,Karnataka,Breakfast,379,17.0,52.3,8.6,Veg
Delhi Style Sandwich (Veg) Traditional,Delhi,Breakfast,441,6.2,67.0,12.3,Veg
Smoked Poha Special,Nagaland,Breakfast,340,13.6,52.1,8.5,Veg
Kuzhi Paniyaram And Roti,Mizoram,Breakfast,266,16.0,42.5,6.1,Veg
Dosa Traditional With Pickle,Gujarat,Breakfast,381,11.6,58.4,11.5,Veg
Kakka Appam,Kerala,Breakfast,417,10.6,49.5,11.8,Veg
Missal And Pickle,Uttarakhand,Breakfast,377,15.7,49.3,13.4,Veg
Upma And Poriyal,Punjab,Breakfast,296,13.6,38.1,7.0,Veg
Kang Khichdi,Manipur,Breakfast,359,8.3,48.4,10.7,Veg
Bamboo Dhokla Special,Nagaland,Breakfast,264,7.1,38.1,7.5,Veg
Phagshapa Dhokla,Sikkim,Breakfast,404,8.1,54.5,11.5,Veg
Bafla Upma Special,Madhya Pradesh,Breakfast,351,10.4,44.4,13.4,Veg
Ragi Dosa And Poriyal,Tamil Nadu,Breakfast,280,9.7,35.1,8.3,Veg
Khichdi And Chutney,Jharkhand,Breakfast,268,12.3,42.2,7.9,Veg
Ragi Thepla,Karnataka,Breakfast,324,18.5,50.2,11.0,Veg
Khatta Ragi Dosa,Himachal Pradesh,Breakfast,301,17.1,37.4,9.2,Veg
Cholar Besan Chilla Special,West Bengal,Breakfast,283,14.6,33.1,7.7,Veg
Chakhwi Sandwich (Veg) Special,Tripura,Breakfast,397,7.0,64.0,13.1,Veg
Dalpithi Kuzhi Paniyaram Special,Madhya Pradesh,Breakfast,413,14.2,62.3,10.1,Veg
Goa Style Dosa Traditional,Goa,Breakfast,292,8.3,46.5,7.6,Veg
Goa Style Khichdi Lite,Goa,Breakfast,391,9.8,56.2,12.7,Veg
Sattu Paratha Delight With Rasam,Karnataka,Breakfast,293,15.2,43.5,9.5,Veg
Punjab Style Vegetable Uttapam Special,Punjab,Breakfast,414,16.8,52.1,10.7,Veg
Fara Kharan Special,Chhattisgarh,Breakfast,389,10.1,62.4,11.8,Veg
Pumaloi Missal,Meghalaya,Breakfast,265,8.2,35.3,7.9,Veg
Sevai Traditional With Chapati,Uttar Pradesh,Breakfast,437,19.8,56.7,12.6,Veg
Chhinam Dhokla Special,Mizoram,Breakfast,311,12.5,39.1,8.2,Veg
Bendakaya Dosa,Andhra Pradesh,Breakfast,313,19.5,49.3,11.2,Veg
Madra Vegetable Uttapam,Himachal Pradesh,Breakfast,377,19.9,51.2,13.9,Veg
Assam Style Idli Homestyle,Assam,Breakfast,311,9.0,40.5,7.2,Veg
Sevai And Dal,Assam,Breakfast,277,12.0,43.4,9.5,Veg
Bai Missal,Mizoram,Breakfast,395,13.9,51.6,10.7,Veg
Sattu Paratha And Salad,Bihar,Breakfast,424,14.6,50.4,10.1,Veg
Cholar Thepla Special,West Bengal,Breakfast,300,14.4,39.8,6.9,Veg
Vellari Pongal,Kerala,Breakfast,288,14.5,39.8,8.0,Veg
Thepla Lite With Rasam,Jharkhand,Breakfast,326,14.3,44.9,10.0,Veg
Pitha Vegetable Uttapam,Assam,Breakfast,334,15.4,53.9,10.7,Veg
Pumaloi Idli Special,Meghalaya,Breakfast,450,19.6,63.6,11.7,Veg
Vegetable Uttapam And Dal,Kerala,Breakfast,434,14.7,67.1,10.7,Veg
Manipur Style Puttu Special,Manipur,Breakfast,298,6.3,38.2,7.4,Veg
Appam And Roti,Tripura,Breakfast,370,18.2,55.2,8.6,Veg
Sattu Paratha Lite With Pickle,Telangana,Breakfast,372,13.4,47.7,9.3,Veg
Khatta Besan Chilla,Himachal Pradesh,Breakfast,447,18.1,65.5,15.9,Veg
Sevai And Raita,Punjab,Breakfast,392,10.2,62.6,15.1,Veg
Khichdi Homestyle With Pickle,Mizoram,Breakfast,339,13.8,54.0,11.6,Veg
Chaulai Poha Special,Haryana,Breakfast,338,19.4,51.6,9.1,Veg
Bathua Upma,Haryana,Breakfast,441,12.7,54.1,13.8,Veg
Madra Besan Chilla,Himachal Pradesh,Breakfast,439,14.2,54.7,14.7,Veg
Puttu Homestyle With Chutney,Goa,Breakfast,334,16.0,39.3,11.7,Veg
Besan Chilla Homestyle With Steamed Rice,Tamil Nadu,Breakfast,372,15.1,55.9,10.0,Veg
Haryana Style Dosa Classic,Haryana,Breakfast,439,16.1,69.9,16.4,Veg
Kharan Homestyle With Poriyal,Maharashtra,Breakfast,297,19.1,47.7,11.2,Veg
Uttarakhand Style Dosa Classic,Uttarakhand,Breakfast,277,19.0,35.8,8.3,Veg
Phagshapa Besan Chilla Special,Sikkim,Breakfast,369,9.8,56.4,10.2,Veg
Zu Kuzhi Paniyaram,Nagaland,Breakfast,336,17.1,47.3,11.7,Veg
Sevai And Dal,Maharashtra,Breakfast,272,11.6,31.9,10.5,Veg
Thepla Homestyle With Salad,Assam,Breakfast,310,12.3,39.0,8.6,Veg
Chhattisgarh Style Vegetable Uttapam Traditional,Chhattisgarh,Breakfast,427,9.3,62.3,12.8,Veg
Bhaji Missal Special,Maharashtra,Breakfast,413,18.8,52.6,13.4,Veg
Pongal And Papad,Rajasthan,Breakfast,405,11.2,59.8,15.2,Veg
Besan Chilla Classic With Steamed Rice,Mizoram,Breakfast,270,13.4,37.5,7.6,Veg
Himachal Pradesh Style Vegetable Uttapam Classic,Himachal Pradesh,Breakfast,301,14.0,36.1,8.3,Veg
Goa Style Kuzhi Paniyaram Classic,Goa,Breakfast,375,7.3,51.8,13.4,Veg
Sabji Pongal Special,Madhya Pradesh,Breakfast,264,13.8,38.6,7.2,Veg
Vellarikai Missal,Tamil Nadu,Breakfast,398,7.0,53.2,13.5,Veg
Jammu And Kashmir Style Dosa Traditional,Jammu and Kashmir,Breakfast,354,8.5,42.2,11.7,Veg
Bamboo Kharan,Nagaland,Breakfast,346,7.1,55.6,12.7,Veg
Telangana Style Dhokla Homestyle,Telangana,Breakfast,385,7.8,62.2,13.9,Veg
Anda Idli,Mizoram,Breakfast,389,11.9,51.1,10.1,Veg
Dhokla Lite With Raita,Madhya Pradesh,Breakfast,445,7.6,68.1,13.0,Veg
Idli Special With Chutney,Mizoram,Breakfast,402,6.5,57.2,13.6,Veg
Kerala Style Puttu Delight,Kerala,Breakfast,388,9.0,60.4,9.0,Veg
Khichdi Classic With Pickle,Goa,Breakfast,403,16.8,61.8,10.5,Veg
Gahat Pongal Special,Uttarakhand,Breakfast,320,6.9,51.2,11.8,Veg
Ragi Dosa And Papad,Himachal Pradesh,Breakfast,338,19.2,49.4,11.9,Veg
Kharan And Salad,Uttar Pradesh,Breakfast,297,16.6,40.4,10.8,Veg
Pongal And Dal,Haryana,Breakfast,356,13.8,42.4,9.4,Veg
Gujarat Style Thepla Special,Gujarat,Breakfast,387,16.1,47.2,10.3,Veg
Eromba Sevai Special,Manipur,Breakfast,444,14.2,64.9,11.5,Veg
Ringna Thepla,Gujarat,Breakfast,439,7.6,71.3,13.3,Veg
Sevai Classic With Raita,Rajasthan,Breakfast,332,16.9,43.7,10.3,Veg
Cholar Khichdi,West Bengal,Breakfast,369,7.4,59.6,11.1,Veg
Thepla Homestyle With Pickle,Punjab,Breakfast,261,13.9,32.3,6.4,Veg
Chhole Besan Chilla Special,Punjab,Breakfast,325,8.1,41.9,9.3,Veg
Puttu And Steamed Rice,Punjab,Breakfast,336,9.6,51.6,12.9,Veg
Sandwich (Veg) And Chapati,Sikkim,Breakfast,293,8.0,41.0,7.4,Veg
Uttarakhand Style Besan Chilla Special,Uttarakhand,Breakfast,421,6.7,47.5,10.3,Veg
Sikkim Style Puttu Delight,Sikkim,Breakfast,379,12.4,43.8,12.5,Veg
Sevai And Sambar,Himachal Pradesh,Breakfast,386,13.7,43.7,12.0,Veg
Sarson Besan Chilla,Punjab,Breakfast,422,12.0,67.3,10.6,Veg
Madra Poha Special,Himachal Pradesh,Breakfast,408,13.4,62.5,10.9,Veg
Ghugni Upma,Bihar,Breakfast,312,19.9,38.6,10.5,Veg
Delhi Style Upma Homestyle,Delhi,Breakfast,346,13.7,39.9,7.7,Veg
Upma And Steamed Rice,Maharashtra,Breakfast,394,19.7,63.5,14.6,Veg
Dosa Classic With Chapati,Himachal Pradesh,Breakfast,371,9.8,58.9,12.5,Veg
Sarson Besan Chilla Special,Punjab,Breakfast,254,19.5,36.0,8.8,Veg
Tripura Style Missal Classic,Tripura,Breakfast,311,13.9,48.2,10.4,Veg
Thepla And Roti,Jammu and Kashmir,Breakfast,435,7.1,65.2,12.2,Veg
Kharan Classic With Pickle,Andhra Pradesh,Breakfast,446,14.6,63.5,17.1,Veg
Tinda Idli,Uttar Pradesh,Breakfast,341,13.7,44.8,8.6,Veg
Chhattisgarh Style Missal Delight,Chhattisgarh,Breakfast,432,7.0,54.4,12.3,Veg
Pongal And Pickle,Meghalaya,Breakfast,273,6.1,34.9,7.7,Veg
Poha Homestyle With Curd,Punjab,Breakfast,364,13.8,50.3,8.7,Veg
Ragi Dhokla Special,Karnataka,Breakfast,450,10.5,59.3,12.2,Veg
Litti Upma Special,Bihar,Breakfast,293,15.6,35.4,7.8,Veg
Sandwich (Veg) Homestyle With Curd,Punjab,Breakfast,320,11.9,43.7,7.5,Veg
Puttu And Rasam,Punjab,Breakfast,367,7.5,46.9,14.0,Veg
Sevai And Papad,Uttar Pradesh,Breakfast,360,17.4,56.0,13.8,Veg
Soppu Khichdi,Telangana,Breakfast,372,10.4,59.8,14.3,Veg
Sarson Sandwich (Veg) Special,Haryana,Breakfast,321,17.4,42.4,7.7,Veg
Badi Appam Special,Chhattisgarh,Breakfast,446,13.7,71.4,13.3,Veg
Appam And Chapati,Tripura,Breakfast,354,15.4,42.3,9.7,Veg
Pongal And Chutney,Punjab,Breakfast,403,12.7,53.4,12.4,Veg
Siddu Kharan Special,Himachal Pradesh,Breakfast,429,18.5,59.8,14.1,Veg
Poha Lite With Curd,Karnataka,Breakfast,406,6.6,65.6,13.6,Veg
Thepla And Sambar,Bihar,Breakfast,316,9.1,47.4,10.0,Veg
Vegetable Uttapam Homestyle With Pickle,Tripura,Breakfast,368,16.8,52.2,11.2,Veg
Idli And Salad,West Bengal,Breakfast,271,7.6,43.2,6.7,Veg
Thepla And Dal,Haryana,Breakfast,339,12.7,45.6,11.5,Veg
Baingan Upma,Uttar Pradesh,Breakfast,279,6.3,36.2,6.7,Veg
Ragi Dosa Classic With Curd,Meghalaya,Breakfast,290,10.6,38.8,8.7,Veg
Missal Lite With Steamed Rice,Meghalaya,Breakfast,360,11.5,53.8,13.3,Veg
Vegetable Uttapam And Sambar,Madhya Pradesh,Breakfast,304,8.9,45.6,10.9,Veg
Karnataka Style Vegetable Uttapam Traditional,Karnataka,Breakfast,333,8.8,39.4,11.1,Veg
Maskaa Sattu Paratha,Assam,Breakfast,350,14.2,45.5,12.7,Veg
Pittha Ragi Dosa,Jharkhand,Breakfast,422,7.9,50.0,11.5,Veg
Dhokla Homestyle With Poriyal,Maharashtra,Breakfast,402,7.9,52.9,10.2,Veg
Besan Chilla Homestyle With Curd,Sikkim,Breakfast,323,8.0,41.4,9.6,Veg
Kerala Style Dhokla Delight,Kerala,Breakfast,348,19.5,47.9,10.6,Veg
Sandwich (Veg) And Papad,Manipur,Breakfast,271,13.9,41.3,7.0,Veg
Paratha Delight With Salad,Kerala,Breakfast,449,12.4,67.2,15.7,Veg
Jammu And Kashmir Style Sattu Paratha Traditional,Jammu and Kashmir,Breakfast,448,13.6,72.6,14.0,Veg
Dosa And Raita,Mizoram,Breakfast,276,16.3,40.1,7.3,Veg
Dosa And Pickle,Delhi,Breakfast,362,18.1,42.8,12.9,Veg
Khandvi Vegetable Uttapam,Gujarat,Breakfast,292,14.6,44.3,10.4,Veg
Dohneiiong Dosa Special,Meghalaya,Breakfast,402,13.5,51.7,13.7,Veg
Chaulai Vegetable Uttapam,Haryana,Breakfast,284,19.5,43.1,10.7,Veg
Pongal Lite With Curd,Punjab,Breakfast,332,17.6,50.0,11.1,Veg
Bora Pongal Special,Assam,Breakfast,346,12.3,49.9,12.8,Veg
Avarekai Missal Special,Karnataka,Breakfast,366,19.3,47.2,8.1,Veg
Upma And Chutney,Mizoram,Breakfast,351,9.0,47.0,9.0,Veg
