Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Punjab Style Pongal Special,Punjab,Breakfast,344,20.0,43.0,8.1,Both
Kharan And Poriyal,Odisha,Breakfast,369,14.0,48.9,13.8,Both
Shorshe Thepla Special,West Bengal,Breakfast,408,20.2,52.7,10.1,Both
Madhya Pradesh Style Pongal Lite,Madhya Pradesh,Breakfast,522,28.2,62.5,17.9,Both
Andhra Pradesh Style Idli Lite,Andhra Pradesh,Breakfast,503,22.8,57.6,16.0,Both
Uttar Pradesh Style Kuzhi Paniyaram Special,Uttar Pradesh,Breakfast,547,10.5,72.0,20.1,Both
Appam Delight With Pickle,Jharkhand,Breakfast,397,28.5,62.9,8.9,Both
Kulcha Dhokla,Delhi,Breakfast,443,34.1,69.1,12.9,Both
Assam Style Fish Fry With Bread Traditional,Assam,Breakfast,376,11.9,44.3,11.7,Both
Kosha Pongal,Kerala,Breakfast,415,19.1,57.7,11.5,Both
Siddu Anda Uttapam,Himachal Pradesh,Breakfast,353,27.5,45.1,12.9,Both
Gundruk Upma,Sikkim,Breakfast,296,29.0,34.8,9.6,Both
Khichdi And Chapati,Gujarat,Breakfast,394,34.5,48.3,10.3,Both
Kela Sandwich (Veg),Uttar Pradesh,Breakfast,307,8.1,47.1,11.4,Both
Pappu Missal,Andhra Pradesh,Breakfast,296,25.3,35.5,10.5,Both
Keerai Fish Fry With Bread,Tamil Nadu,Breakfast,374,17.2,55.2,12.2,Both
Anda Uttapam Classic With Steamed Rice,Jammu and Kashmir,Breakfast,520,10.5,75.2,18.9,Both
Shorshe Missal Special,West Bengal,Breakfast,507,18.1,66.0,12.1,Both
Zu Puttu Special,Nagaland,Breakfast,315,34.5,46.2,10.8,Both
Bhatt Fish Fry With Bread Special,Uttarakhand,Breakfast,376,14.7,54.5,11.4,Both
Muthiya Missal,Gujarat,Breakfast,411,27.5,47.1,11.5,Both
Bora Eggy Poha,Tripura,Breakfast,451,23.4,71.7,12.8,Both
Anda Uttapam And Pickle,Tamil Nadu,Breakfast,413,18.6,64.4,12.4,Both
Singodi Egg Dosa,Uttarakhand,Breakfast,373,20.2,52.8,13.4,Both
Idli Lite With Roti,Odisha,Breakfast,313,11.3,42.0,11.4,Both
Tamil Nadu Style Keema Paratha Delight,Tamil Nadu,Breakfast,503,30.6,71.4,11.7,Both
Punjab Style Vegetable Uttapam Lite,Punjab,Breakfast,519,9.3,81.0,20.1,Both
Kuzhi Paniyaram And Papad,Goa,Breakfast,323,15.5,45.8,7.9,Both
Sattu Paratha Classic With Chutney,Bihar,Breakfast,451,19.5,65.5,15.5,Both
Bhature Missal,Himachal Pradesh,Breakfast,510,13.5,65.5,16.4,Both
Sattu Egg Bhurji Paratha Special,Bihar,Breakfast,356,9.0,55.5,13.3,Both
Bendakaya Appam,Andhra Pradesh,Breakfast,515,29.5,76.8,18.2,Both
Dhuska Ragi Dosa,Jharkhand,Breakfast,462,10.9,62.8,12.3,Both
Pumaloi Keema Paratha Special,Meghalaya,Breakfast,376,17.8,44.6,9.2,Both
Sandwich (Veg) And Dal,Andhra Pradesh,Breakfast,424,21.5,60.6,12.1,Both
Pittha Sevai,Jharkhand,Breakfast,400,18.1,57.1,12.8,Both
Poha Special With Curd,Mizoram,Breakfast,321,24.5,37.1,9.2,Both
Sarson Kharan Special,Punjab,Breakfast,531,11.0,62.1,15.5,Both
Vegetable Uttapam Delight With Pickle,Chhattisgarh,Breakfast,299,13.7,34.8,10.5,Both
Besan Chilla Lite With Pickle,Assam,Breakfast,481,22.3,66.5,16.6,Both
Jadoh Sandwich (Veg),Meghalaya,Breakfast,449,12.8,66.0,10.4,Both
Pittha Anda Uttapam,Jharkhand,Breakfast,525,21.6,62.0,16.6,Both
Litti Vegetable Uttapam Special,Bihar,Breakfast,468,11.3,58.0,18.0,Both
Pongal Special With Raita,Meghalaya,Breakfast,505,25.4,69.7,14.0,Both
Idli Traditional With Steamed Rice,Himachal Pradesh,Breakfast,504,18.1,75.8,16.6,Both
Thepla And Chapati,Uttar Pradesh,Breakfast,320,20.4,39.3,12.0,Both
Khichdi Traditional With Steamed Rice,Manipur,Breakfast,385,17.4,53.0,13.0,Both
Bengalgram Egg Bhurji Paratha,Karnataka,Breakfast,352,32.3,47.7,8.1,Both
Punjab Style Sattu Paratha Classic,Punjab,Breakfast,471,20.2,61.3,13.7,Both
Gahat Sevai,Uttarakhand,Breakfast,331,19.0,43.5,11.9,Both
Tilkut Idli Special,Madhya Pradesh,Breakfast,288,18.8,43.3,7.5,Both
Chha Gosht (Veg Style) Vegetable Uttapam,Himachal Pradesh,Breakfast,310,29.2,35.9,8.4,Both
Chole Sandwich (Veg) Special,Delhi,Breakfast,378,17.4,58.4,9.3,Both
Himachal Pradesh Style Idli Special,Himachal Pradesh,Breakfast,538,22.7,77.8,15.7,Both
Uttarakhand Style Sevai Lite,Uttarakhand,Breakfast,405,18.0,65.2,11.2,Both
Koddel Khichdi Special,Goa,Breakfast,446,27.3,51.0,11.3,Both
Dhokla And Steamed Rice,Madhya Pradesh,Breakfast,490,15.7,78.0,16.5,Both
Baingan Ragi Dosa,Bihar,Breakfast,493,34.7,55.5,12.4,Both
Fish Fry With Bread Traditional With Chapati,Andhra Pradesh,Breakfast,479,24.8,70.6,11.8,Both
Soppu Vegetable Uttapam,Rajasthan,Breakfast,507,14.6,64.5,13.6,Both
Baingan Dosa Special,Bihar,Breakfast,305,27.5,35.1,7.0,Both
Khlem Puttu Special,Meghalaya,Breakfast,506,23.6,76.5,12.2,Both
Thepla Lite With Salad,Gujarat,Breakfast,323,28.0,36.3,8.1,Both
Haryana Style Egg Dosa Homestyle,Haryana,Breakfast,314,18.3,36.0,10.2,Both
Odisha Style Paratha Traditional,Odisha,Breakfast,418,11.3,51.6,10.7,Both
Bihar Style Dhokla Traditional,Bihar,Breakfast,314,16.9,42.1,10.9,Both
Uttar Pradesh Style Besan Chilla Classic,Uttar Pradesh,Breakfast,330,26.0,49.1,10.4,Both
Kouk Dosa,Chhattisgarh,Breakfast,371,12.6,56.8,13.6,Both
Sikkim Style Anda Uttapam Classic,Sikkim,Breakfast,418,21.6,53.1,11.3,Both
Upma Lite With Pickle,Mizoram,Breakfast,483,32.3,68.4,15.4,Both
Ragi Dosa And Curd,Haryana,Breakfast,341,30.4,52.4,7.8,Both
Madhya Pradesh Style Khichdi Classic,Madhya Pradesh,Breakfast,539,25.5,79.6,15.9,Both
Bhaji Sattu Paratha Special,Goa,Breakfast,432,22.7,63.5,10.7,Both
Batata Eggy Poha Special,Maharashtra,Breakfast,477,20.3,69.6,18.1,Both
Gongura Kharan,Andhra Pradesh,Breakfast,343,34.9,55.2,8.7,Both
Telangana Style Keema Paratha Special,Telangana,Breakfast,328,10.7,37.9,9.0,Both
Telangana Style Appam Classic,Telangana,Breakfast,367,32.0,45.6,9.3,Both
Punjab Style Egg Bhurji Paratha Lite,Punjab,Breakfast,408,18.7,65.1,12.3,Both
Egg Dosa Delight With Sambar,Karnataka,Breakfast,440,14.7,67.9,15.3,Both
Ragi Dosa Homestyle With Poriyal,Punjab,Breakfast,300,30.0,40.9,6.8,Both
Sawhchiar Pongal Special,Mizoram,Breakfast,532,25.3,84.1,15.6,Both
Sattu Sandwich (Veg),Bihar,Breakfast,535,21.1,63.8,12.2,Both
Thepla Special With Chapati,Sikkim,Breakfast,290,14.5,35.8,6.6,Both
Meghalaya Style Dhokla Lite,Meghalaya,Breakfast,532,34.1,63.7,18.9,Both
Dohneiiong Pongal,Meghalaya,Breakfast,457,15.8,52.9,15.8,Both
Chak-Hao Besan Chilla Special,Manipur,Breakfast,528,34.9,70.9,18.1,Both
Egg Bhurji Paratha Traditional With Dal,Mizoram,Breakfast,374,13.9,54.4,13.3,Both
Modak Eggy Poha Special,Maharashtra,Breakfast,378,34.2,54.4,13.3,Both
Besan Chilla And Sambar,Madhya Pradesh,Breakfast,300,15.4,43.5,7.8,Both
Kuzhi Paniyaram Classic With Dal,Uttarakhand,Breakfast,468,23.6,54.3,11.0,Both
Kadala Anda Uttapam Special,Odisha,Breakfast,321,25.6,41.2,8.8,Both
Madhya Pradesh Style Keema Paratha Homestyle,Madhya Pradesh,Breakfast,281,21.4,36.9,9.6,Both
Nadru Chicken Kheema Sandwich,Jammu and Kashmir,Breakfast,484,13.3,62.8,13.8,Both
Egg Bhurji Paratha And Roti,Odisha,Breakfast,401,22.8,45.3,11.1,Both
Chhattisgarh Style Dhokla Traditional,Chhattisgarh,Breakfast,423,28.0,53.5,10.6,Both
Aloo Ke Gutke Dhokla Special,Uttarakhand,Breakfast,380,30.1,58.4,12.9,Both
Axone Thepla Special,Nagaland,Breakfast,329,23.7,40.4,11.1,Both
Andhra Pradesh Style Keema Paratha Homestyle,Andhra Pradesh,Breakfast,534,16.3,62.9,13.9,Both
Eggy Poha And Poriyal,Delhi,Breakfast,285,33.5,36.8,6.5,Both
Sandwich (Veg) Delight With Curd,Karnataka,Breakfast,401,15.0,53.5,13.6,Both
Sattu Paratha And Chapati,Punjab,Breakfast,368,13.8,56.6,8.9,Both
Upma And Roti,Goa,Breakfast,397,17.5,61.7,13.3,Both
Zu Anda Uttapam,Nagaland,Breakfast,362,19.9,46.5,11.6,Both
Chicken Kheema Sandwich And Chutney,Rajasthan,Breakfast,436,24.4,69.8,11.4,Both
Mirapakaya Idli Special,Andhra Pradesh,Breakfast,403,9.5,54.0,14.1,Both
Tungrymbai Vegetable Uttapam,Meghalaya,Breakfast,328,21.8,37.2,11.1,Both
Bajre Besan Chilla,Haryana,Breakfast,302,11.5,41.5,8.2,Both
Tripura Style Paratha Homestyle,Tripura,Breakfast,303,11.6,38.1,8.9,Both
Chana Egg Dosa Special,Odisha,Breakfast,378,13.0,43.7,12.0,Both
Chhattisgarh Style Sandwich (Veg) Delight,Chhattisgarh,Breakfast,290,15.6,42.0,9.7,Both
Appam Delight With Salad,Punjab,Breakfast,333,9.2,43.5,12.2,Both
Pumaloi Idli,Meghalaya,Breakfast,286,25.0,33.8,6.9,Both
Tinda Dhokla,Uttar Pradesh,Breakfast,348,9.3,47.4,13.4,Both
Anda Uttapam Traditional With Rasam,Telangana,Breakfast,496,28.4,80.5,14.9,Both
Upma And Roti,Manipur,Breakfast,547,29.6,77.9,19.1,Both
Besan Chilla And Papad,Chhattisgarh,Breakfast,496,20.9,66.7,14.1,Both
Bengalgram Appam Special,Karnataka,Breakfast,319,11.5,39.3,9.9,Both
Vegetable Uttapam Lite With Papad,Jammu and Kashmir,Breakfast,362,9.1,49.9,9.4,Both
Punjab Style Dhokla Traditional,Punjab,Breakfast,454,28.0,60.4,13.9,Both
Upma And Salad,Punjab,Breakfast,295,21.5,47.6,9.8,Both
Mizoram Style Khichdi Lite,Mizoram,Breakfast,334,17.4,45.7,9.2,Both
Sevai Classic With Chutney,Uttar Pradesh,Breakfast,446,14.4,58.9,11.0,Both
Ghugni Paratha,West Bengal,Breakfast,373,20.1,54.5,10.3,Both
Kharan Homestyle With Pickle,Tamil Nadu,Breakfast,513,8.2,82.8,17.7,Both
Sael Upma,Sikkim,Breakfast,422,13.0,62.0,11.8,Both
Singju Egg Dosa,Manipur,Breakfast,443,15.2,70.6,16.1,Both
Tilkut Chicken Kheema Sandwich Special,Madhya Pradesh,Breakfast,513,20.6,82.5,18.9,Both
Modur Eggy Poha Special,Jammu and Kashmir,Breakfast,349,34.3,53.2,12.2,Both
Kerala Style Keema Paratha Delight,Kerala,Breakfast,284,33.0,32.3,9.9,Both
Haryana Style Sandwich (Veg) Delight,Haryana,Breakfast,431,18.9,63.3,12.2,Both
Assam Style Besan Chilla Special,Assam,Breakfast,439,22.9,58.4,10.4,Both
Dalma Paratha,Odisha,Breakfast,429,16.1,68.6,13.1,Both
Bamboo Paratha Special,Tripura,Breakfast,322,11.1,36.5,7.8,Both
Madhya Pradesh Style Kuzhi Paniyaram Delight,Madhya Pradesh,Breakfast,447,20.5,51.3,12.1,Both
Haryana Style Puttu Delight,Haryana,Breakfast,437,30.7,63.6,15.3,Both
Sevai And Rasam,Chhattisgarh,Breakfast,310,28.4,44.8,7.2,Both
Tungrymbai Puttu Special,Meghalaya,Breakfast,506,24.9,79.1,15.5,Both
Vegetable Uttapam Classic With Poriyal,Chhattisgarh,Breakfast,362,15.7,41.1,13.2,Both
Poha Classic With Chutney,Andhra Pradesh,Breakfast,498,28.7,63.2,12.2,Both
Avarekai Fish Fry With Bread,Karnataka,Breakfast,470,10.6,71.4,11.7,Both
West Bengal Style Sevai Special,West Bengal,Breakfast,405,15.3,63.9,12.1,Both
Keema Paratha Lite With Poriyal,Gujarat,Breakfast,520,16.0,83.8,18.4,Both
Jadoh Egg Bhurji Paratha,Meghalaya,Breakfast,441,10.5,63.9,10.9,Both
Gongura Upma,Andhra Pradesh,Breakfast,314,11.1,48.4,11.7,Both
Sikkim Style Pongal Homestyle,Sikkim,Breakfast,332,14.7,44.0,10.6,Both
Kerala Style Eggy Poha Delight,Kerala,Breakfast,318,34.4,40.7,7.9,Both
Kharan And Chapati,Delhi,Breakfast,382,23.1,55.8,10.5,Both
Odisha Style Poha Lite,Odisha,Breakfast,440,26.0,63.2,15.0,Both
Paratha Lite With Roti,Haryana,Breakfast,323,22.4,50.1,9.0,Both
Khandvi Kuzhi Paniyaram,Gujarat,Breakfast,345,27.4,49.6,8.0,Both
Mirapakaya Paratha Special,Andhra Pradesh,Breakfast,296,12.9,36.1,7.5,Both
Modur Dhokla Special,Jammu and Kashmir,Breakfast,308,26.7,49.3,10.6,Both
Thepla Special With Dal,Sikkim,Breakfast,452,8.8,69.1,12.4,Both
Chaat Sandwich (Veg) Special,Delhi,Breakfast,510,29.8,66.6,18.0,Both
Khichdi Traditional With Curd,Punjab,Breakfast,522,21.3,71.3,14.1,Both
Bhature Paratha Special,Himachal Pradesh,Breakfast,405,8.9,54.2,14.4,Both
Kerala Style Kharan Classic,Kerala,Breakfast,541,32.9,71.4,16.9,Both
Keema Paratha And Roti,Telangana,Breakfast,386,21.4,54.9,13.6,Both
Bajra Besan Chilla,Punjab,Breakfast,290,23.7,34.7,6.6,Both
Delhi Style Paratha Traditional,Delhi,Breakfast,409,29.9,53.3,10.4,Both
Odisha Style Dosa Classic,Odisha,Breakfast,393,11.8,56.6,10.4,Both
Sundakkai Kuzhi Paniyaram Special,Tamil Nadu,Breakfast,464,26.0,72.9,11.1,Both
Khichdi Homestyle With Steamed Rice,Assam,Breakfast,309,13.9,40.5,10.2,Both
Keerai Keema Paratha Special,Rajasthan,Breakfast,540,33.2,67.7,14.4,Both
Soppu Kuzhi Paniyaram Special,Telangana,Breakfast,404,19.5,61.3,12.3,Both
Poha And Steamed Rice,Nagaland,Breakfast,353,19.9,41.6,9.2,Both
Chaat Pongal,Delhi,Breakfast,386,18.6,56.3,9.4,Both
Poha And Salad,Bihar,Breakfast,295,28.7,37.3,6.8,Both
Smoked Missal,Nagaland,Breakfast,363,22.9,45.0,8.5,Both
Katancha Idli,Andhra Pradesh,Breakfast,347,22.4,49.5,7.9,Both
Vawksa Egg Dosa,Mizoram,Breakfast,366,29.4,58.2,14.1,Both
Kuzhi Paniyaram And Papad,Telangana,Breakfast,373,13.6,45.9,12.6,Both
Chicken Kheema Sandwich Lite With Raita,Gujarat,Breakfast,348,27.3,48.2,9.0,Both
Dalma Chicken Kheema Sandwich Special,Odisha,Breakfast,341,9.1,40.7,7.6,Both
Chicken Kheema Sandwich Delight With Salad,Madhya Pradesh,Breakfast,408,33.8,60.1,11.7,Both
Vegetable Uttapam And Raita,Uttarakhand,Breakfast,314,17.8,40.9,8.3,Both
Dhokla Classic With Dal,Tamil Nadu,Breakfast,379,9.8,51.2,8.6,Both
Uttarakhand Style Puttu Homestyle,Uttarakhand,Breakfast,378,32.0,47.7,8.9,Both
Bajre Sattu Paratha,Haryana,Breakfast,512,26.1,83.1,16.6,Both
Punjab Style Egg Bhurji Paratha Homestyle,Punjab,Breakfast,289,8.0,33.4,7.1,Both
Besan Chilla And Curd,Tamil Nadu,Breakfast,547,23.8,82.1,14.7,Both
Bhaji Puttu Special,Maharashtra,Breakfast,299,11.5,36.8,10.7,Both
Khlem Sevai Special,Meghalaya,Breakfast,459,11.1,59.9,16.2,Both
Appam Classic With Sambar,Tamil Nadu,Breakfast,549,22.5,83.6,20.1,Both
Bhatt Sevai,Uttarakhand,Breakfast,286,12.6,43.5,7.7,Both
Rajasthan Style Idli Lite,Rajasthan,Breakfast,496,21.3,64.5,16.8,Both
Maskaa Thepla,Assam,Breakfast,453,23.5,53.2,12.6,Both
Sevai And Raita,Haryana,Breakfast,491,24.8,71.9,12.0,Both
Sattu Paratha And Chutney,Maharashtra,Breakfast,343,15.8,50.4,7.8,Both
Dohneiiong Puttu Special,Meghalaya,Breakfast,445,32.7,65.2,15.0,Both
Missal Homestyle With Papad,Himachal Pradesh,Breakfast,413,25.9,65.6,13.3,Both
Ringna Vegetable Uttapam,Gujarat,Breakfast,473,20.1,76.1,14.0,Both
Singodi Anda Uttapam Special,Uttarakhand,Breakfast,464,22.4,62.6,15.1,Both
Mizoram Style Upma Homestyle,Mizoram,Breakfast,514,25.3,83.0,13.9,Both
Sattu Paratha And Raita,Karnataka,Breakfast,510,22.5,80.1,13.2,Both
Assam Style Dosa Classic,Assam,Breakfast,388,31.7,45.8,13.4,Both
Ghugni Anda Uttapam Special,West Bengal,Breakfast,406,34.6,54.6,9.1,Both
Poha Idli,Madhya Pradesh,Breakfast,382,18.5,44.3,11.7,Both
Dhokla And Curd,Madhya Pradesh,Breakfast,351,28.4,54.1,12.3,Both
Anda Uttapam Traditional With Raita,Rajasthan,Breakfast,534,11.2,69.8,19.8,Both
Upma Special With Sambar,Maharashtra,Breakfast,454,20.4,62.6,14.4,Both
Meghalaya Style Vegetable Uttapam Delight,Meghalaya,Breakfast,436,12.9,66.0,12.5,Both
Vellarikai Vegetable Uttapam Special,Tamil Nadu,Breakfast,388,19.0,55.4,13.1,Both
Idli Delight With Chutney,Gujarat,Breakfast,487,17.1,59.4,15.6,Both
Kela Kharan Special,Uttar Pradesh,Breakfast,507,31.4,77.4,18.2,Both
Keema Paratha And Poriyal,Tamil Nadu,Breakfast,292,21.5,46.6,7.0,Both
Eggy Poha Special With Papad,Punjab,Breakfast,306,29.2,45.6,7.2,Both
Anda Uttapam And Salad,Delhi,Breakfast,478,23.1,55.7,16.4,Both
Missal Homestyle With Chapati,Punjab,Breakfast,503,13.0,58.6,14.2,Both
Egg Bhurji Paratha And Sambar,Assam,Breakfast,446,14.9,58.5,13.6,Both
Dalma Poha Special,Odisha,Breakfast,535,16.3,67.5,16.2,Both
West Bengal Style Puttu Lite,West Bengal,Breakfast,537,21.5,65.1,13.8,Both
Mooli Anda Uttapam Special,Punjab,Breakfast,362,11.7,53.6,11.5,Both
Kouk Fish Fry With Bread Special,Chhattisgarh,Breakfast,292,8.4,43.1,7.1,Both
Delhi Style Pongal Traditional,Delhi,Breakfast,541,15.0,82.0,15.8,Both
Eggy Poha And Pickle,Himachal Pradesh,Breakfast,416,11.0,66.6,13.8,Both
Bihar Style Missal Homestyle,Bihar,Breakfast,398,23.6,62.5,11.5,Both
Bajra Keema Paratha,Punjab,Breakfast,485,21.3,73.6,16.2,Both
Chicken Kheema Sandwich And Papad,Madhya Pradesh,Breakfast,501,18.4,77.9,15.1,Both
Vegetable Uttapam And Pickle,Telangana,Breakfast,374,9.9,48.9,10.1,Both
Saag Besan Chilla Special,Jharkhand,Breakfast,536,21.2,64.1,15.1,Both
Paratha Homestyle With Sambar,Nagaland,Breakfast,319,26.5,44.7,10.8,Both
Sevai Homestyle With Dal,Odisha,Breakfast,398,25.4,53.4,13.4,Both
Dosa And Curd,Kerala,Breakfast,492,31.2,66.0,15.7,Both
Rajasthan Style Ragi Dosa Special,Rajasthan,Breakfast,379,10.4,55.8,14.7,Both
Puttu Special With Chutney,Punjab,Breakfast,337,29.6,46.5,11.2,Both
Karela Dhokla,Bihar,Breakfast,455,22.1,58.5,11.1,Both
Dhokla Special With Poriyal,Haryana,Breakfast,455,10.0,55.6,14.7,Both
Bhature Paratha,Himachal Pradesh,Breakfast,388,16.6,61.8,14.8,Both
Besan Chilla Lite With Papad,Uttarakhand,Breakfast,325,25.7,41.9,12.5,Both
Sevai And Steamed Rice,Odisha,Breakfast,461,27.2,69.0,13.6,Both
Upma And Curd,Punjab,Breakfast,478,32.4,70.3,15.4,Both
Nagaland Style Vegetable Uttapam Traditional,Nagaland,Breakfast,497,33.2,63.5,14.9,Both
Mosdeng Ragi Dosa Special,Tripura,Breakfast,425,11.7,59.0,12.0,Both
Bendakaya Sandwich (Veg) Special,Andhra Pradesh,Breakfast,526,23.2,81.2,19.5,Both
Kerala Style Upma Homestyle,Kerala,Breakfast,319,24.4,36.8,11.3,Both
Thepla Classic With Raita,Jharkhand,Breakfast,512,12.3,81.0,12.4,Both
Chaat Eggy Poha,Delhi,Breakfast,420,32.3,62.6,12.0,Both
Makki Khichdi,Punjab,Breakfast,357,9.0,47.1,10.5,Both
Egg Dosa Lite With Raita,Gujarat,Breakfast,460,9.0,55.3,11.7,Both
Missal Lite With Raita,Telangana,Breakfast,326,33.8,36.9,7.5,Both
Gongura Khichdi Special,Telangana,Breakfast,305,21.2,39.9,10.6,Both
Sevai Classic With Curd,Nagaland,Breakfast,307,31.1,44.4,11.3,Both
Eggy Poha And Curd,Jharkhand,Breakfast,418,8.1,66.4,10.7,Both
Tamil Nadu Style Sevai Special,Tamil Nadu,Breakfast,369,14.4,47.6,12.4,Both
Pongal And Steamed Rice,Himachal Pradesh,Breakfast,392,21.2,51.1,10.4,Both
Upma And Papad,Bihar,Breakfast,523,33.6,67.7,14.3,Both
Bhature Poha,Himachal Pradesh,Breakfast,479,19.0,56.4,17.8,Both
Vegetable Uttapam Delight With Chapati,Rajasthan,Breakfast,416,12.8,61.5,15.0,Both
Karnataka Style Dhokla Traditional,Karnataka,Breakfast,393,25.2,55.4,11.6,Both
Maskaa Sevai Special,Assam,Breakfast,538,12.9,68.3,16.0,Both
Ringna Appam Special,Gujarat,Breakfast,302,14.0,47.9,10.2,Both
Pongal And Rasam,Andhra Pradesh,Breakfast,465,16.5,67.8,11.0,Both
Eggy Poha Lite With Roti,Haryana,Breakfast,325,19.4,47.5,12.5,Both
Fish Fry With Bread And Rasam,Kerala,Breakfast,303,8.1,38.3,8.0,Both
Paratha Traditional With Salad,Bihar,Breakfast,408,13.7,49.2,14.4,Both
Eggy Poha And Chutney,Meghalaya,Breakfast,355,12.2,53.4,13.4,Both
Tamil Nadu Style Egg Dosa Delight,Tamil Nadu,Breakfast,364,32.8,58.4,10.5,Both
Ambot Puttu,Goa,Breakfast,304,30.9,41.9,11.2,Both
Sabji Besan Chilla,Madhya Pradesh,Breakfast,391,13.1,58.7,10.1,Both
Vellarikai Dosa Special,Tamil Nadu,Breakfast,496,13.7,80.0,13.9,Both
Kharan And Pickle,Nagaland,Breakfast,486,18.0,64.7,14.7,Both
Kahwa Anda Uttapam,Jammu and Kashmir,Breakfast,403,15.8,61.5,13.2,Both
Keerai Ragi Dosa,Rajasthan,Breakfast,491,31.1,68.2,18.6,Both
Vawksa Upma,Mizoram,Breakfast,382,17.0,51.9,11.6,Both
Uttar Pradesh Style Chicken Kheema Sandwich Special,Uttar Pradesh,Breakfast,535,18.7,78.2,15.1,Both
Chhole Vegetable Uttapam,Punjab,Breakfast,490,8.3,74.4,16.1,Both
Puttu Traditional With Chapati,Mizoram,Breakfast,358,12.9,55.4,12.4,Both
Paratha Classic With Sambar,Goa,Breakfast,361,13.0,56.6,10.0,Both
Smoked Paratha,Nagaland,Breakfast,468,30.7,57.3,15.4,Both
