Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Nagaland Style Egg Bhurji Paratha Delight,Nagaland,Breakfast,544,26.9,84.8,16.7,Non-Veg
Chicken Kheema Sandwich Homestyle With Rasam,Kerala,Breakfast,540,22.1,79.3,16.5,Non-Veg
Egg Dosa Lite With Sambar,Jharkhand,Breakfast,377,38.3,44.6,9.4,Non-Veg
Eggy Poha And Papad,Delhi,Breakfast,371,21.3,53.0,12.9,Non-Veg
Karnataka Style Egg Dosa Special,Karnataka,Breakfast,366,42.8,41.9,11.9,Non-Veg
Keema Paratha Lite With Steamed Rice,Kerala,Breakfast,570,39.0,90.7,14.5,Non-Veg
Eggy Poha Classic With Salad,Jharkhand,Breakfast,398,30.8,51.5,12.4,Non-Veg
Anda Uttapam And Roti,Manipur,Breakfast,353,23.7,53.6,8.9,Non-Veg
Karnataka Style Egg Bhurji Paratha Homestyle,Karnataka,Breakfast,568,23.5,73.5,12.7,Non-Veg
Egg Bhurji Paratha Traditional With Rasam,Manipur,Breakfast,492,23.2,76.0,15.8,Non-Veg
Bora Fish Fry With Bread,Tripura,Breakfast,333,40.3,49.7,7.4,Non-Veg
Khatta Anda Uttapam Special,Himachal Pradesh,Breakfast,598,32.4,67.8,14.3,Non-Veg
Egg Dosa Homestyle With Raita,Madhya Pradesh,Breakfast,483,33.7,67.4,13.9,Non-Veg
Anda Uttapam Special With Salad,Mizoram,Breakfast,379,20.6,61.4,14.3,Non-Veg
Kadala Egg Dosa,Odisha,Breakfast,418,33.9,52.8,10.4,Non-Veg
Egg Dosa And Poriyal,Jharkhand,Breakfast,311,30.3,37.0,11.4,Non-Veg
Goa Style Eggy Poha Traditional,Goa,Breakfast,381,40.7,55.9,12.5,Non-Veg
Soppu Eggy Poha,Rajasthan,Breakfast,363,20.4,47.4,13.5,Non-Veg
Chicken Kheema Sandwich And Poriyal,Assam,Breakfast,333,29.3,47.3,11.7,Non-Veg
Panta Egg Bhurji Paratha,West Bengal,Breakfast,428,32.0,50.4,15.5,Non-Veg
Keema Paratha And Chutney,Punjab,Breakfast,584,21.5,69.2,20.6,Non-Veg
Egg Dosa Lite With Roti,Andhra Pradesh,Breakfast,511,33.8,60.1,14.8,Non-Veg
Egg Dosa And Poriyal,Mizoram,Breakfast,321,33.6,44.4,11.5,Non-Veg
Egg Bhurji Paratha And Curd,Manipur,Breakfast,315,41.7,37.1,8.8,Non-Veg
Kerala Style Keema Paratha Special,Kerala,Breakfast,509,31.3,63.5,15.2,Non-Veg
Rajasthan Style Egg Bhurji Paratha Traditional,Rajasthan,Breakfast,571,43.8,78.3,14.6,Non-Veg
Bihar Style Anda Uttapam Special,Bihar,Breakfast,589,30.9,76.5,21.5,Non-Veg
Egg Bhurji Paratha And Chapati,Manipur,Breakfast,429,32.4,52.7,13.5,Non-Veg
Anda Uttapam Delight With Poriyal,Uttar Pradesh,Breakfast,525,43.0,81.1,19.5,Non-Veg
Fish Fry With Bread Classic With Pickle,Odisha,Breakfast,332,33.1,51.1,11.2,Non-Veg
Assam Style Egg Dosa Homestyle,Assam,Breakfast,512,30.6,65.6,14.2,Non-Veg
Chhattisgarh Style Egg Dosa Homestyle,Chhattisgarh,Breakfast,548,36.7,65.1,14.5,Non-Veg
Vendakkai Eggy Poha,Tamil Nadu,Breakfast,582,21.7,86.3,20.3,Non-Veg
Kulcha Eggy Poha,Delhi,Breakfast,427,36.7,63.1,11.7,Non-Veg
Modak Egg Dosa,Maharashtra,Breakfast,319,40.2,40.6,11.5,Non-Veg
Keema Paratha And Dal,Punjab,Breakfast,414,36.2,50.7,13.3,Non-Veg
Egg Dosa And Rasam,Manipur,Breakfast,449,22.6,70.9,17.1,Non-Veg
Anda Uttapam And Sambar,Telangana,Breakfast,545,34.3,68.1,19.7,Non-Veg
Egg Bhurji Paratha And Raita,Mizoram,Breakfast,563,36.7,80.1,18.0,Non-Veg
Bhature Egg Dosa Special,Himachal Pradesh,Breakfast,334,37.8,52.8,8.3,Non-Veg
Fish Fry With Bread Homestyle With Raita,Odisha,Breakfast,326,32.9,50.0,10.2,Non-Veg
Maharashtra Style Egg Dosa Delight,Maharashtra,Breakfast,314,35.8,45.7,8.3,Non-Veg
Delhi Style Chicken Kheema Sandwich Lite,Delhi,Breakfast,592,32.8,81.5,23.0,Non-Veg
Keema Paratha Homestyle With Chutney,Chhattisgarh,Breakfast,311,38.3,43.3,10.2,Non-Veg
Bajre Eggy Poha Special,Haryana,Breakfast,504,42.4,64.4,12.4,Non-Veg
Egg Dosa And Dal,Mizoram,Breakfast,419,34.3,56.4,12.9,Non-Veg
Bafla Egg Dosa Special,Madhya Pradesh,Breakfast,432,33.5,57.6,11.9,Non-Veg
Egg Dosa Classic With Poriyal,Manipur,Breakfast,343,27.5,45.5,12.0,Non-Veg
Egg Dosa Lite With Papad,Manipur,Breakfast,438,39.8,62.4,12.8,Non-Veg
Chicken Kheema Sandwich Homestyle With Chapati,Uttarakhand,Breakfast,596,43.6,87.0,21.7,Non-Veg
Manipur Style Eggy Poha Classic,Manipur,Breakfast,481,25.7,56.9,17.9,Non-Veg
Bengalgram Fish Fry With Bread Special,Karnataka,Breakfast,518,21.1,81.6,17.1,Non-Veg
Modak Keema Paratha,Maharashtra,Breakfast,470,38.1,61.2,16.5,Non-Veg
Chicken Kheema Sandwich And Salad,Madhya Pradesh,Breakfast,323,42.1,51.3,11.0,Non-Veg
Bathua Fish Fry With Bread Special,Haryana,Breakfast,427,38.0,68.0,12.5,Non-Veg
Bajra Keema Paratha Special,Punjab,Breakfast,527,20.3,74.1,12.6,Non-Veg
Soppu Anda Uttapam,Telangana,Breakfast,508,26.9,71.0,11.3,Non-Veg
Fish Fry With Bread Homestyle With Dal,Chhattisgarh,Breakfast,572,37.4,70.9,13.1,Non-Veg
Chana Anda Uttapam,Odisha,Breakfast,569,31.1,80.4,16.7,Non-Veg
Jharkhand Style Fish Fry With Bread Special,Jharkhand,Breakfast,409,45.0,48.3,15.2,Non-Veg
Jitok Anda Uttapam,Nagaland,Breakfast,404,37.9,47.6,10.4,Non-Veg
Nagaland Style Keema Paratha Delight,Nagaland,Breakfast,322,43.0,41.4,9.9,Non-Veg
Bihar Style Egg Bhurji Paratha Traditional,Bihar,Breakfast,454,32.4,57.0,14.8,Non-Veg
Odisha Style Egg Bhurji Paratha Traditional,Odisha,Breakfast,440,20.7,62.0,12.7,Non-Veg
Keema Paratha And Roti,Karnataka,Breakfast,364,37.5,51.8,11.6,Non-Veg
Jammu And Kashmir Style Eggy Poha Lite,Jammu and Kashmir,Breakfast,301,41.7,40.8,9.5,Non-Veg
Andhra Pradesh Style Egg Bhurji Paratha Homestyle,Andhra Pradesh,Breakfast,564,41.2,66.4,14.7,Non-Veg
Chicken Kheema Sandwich Homestyle With Steamed Rice,Uttar Pradesh,Breakfast,435,33.6,62.3,13.6,Non-Veg
Pumaloi Anda Uttapam Special,Meghalaya,Breakfast,581,31.0,92.4,16.6,Non-Veg
Haryana Style Eggy Poha Classic,Haryana,Breakfast,433,44.5,66.1,10.0,Non-Veg
Chicken Kheema Sandwich Delight With Steamed Rice,Andhra Pradesh,Breakfast,329,41.1,49.9,12.8,Non-Veg
Eggy Poha And Sambar,Rajasthan,Breakfast,358,21.8,41.7,12.0,Non-Veg
Keera Anda Uttapam Special,Kerala,Breakfast,502,25.2,64.4,14.6,Non-Veg
Eggy Poha Classic With Dal,Tripura,Breakfast,433,28.2,61.7,12.4,Non-Veg
Tamil Nadu Style Egg Dosa Lite,Tamil Nadu,Breakfast,593,27.5,70.7,18.4,Non-Veg
Egg Bhurji Paratha Homestyle With Salad,Chhattisgarh,Breakfast,492,37.1,62.1,18.3,Non-Veg
Chole Chicken Kheema Sandwich Special,Delhi,Breakfast,510,21.3,77.5,13.6,Non-Veg
Kothavarangai Fish Fry With Bread,Tamil Nadu,Breakfast,550,38.9,71.2,20.4,Non-Veg
Bore Keema Paratha,Chhattisgarh,Breakfast,559,40.1,63.7,13.6,Non-Veg
Parathas Fish Fry With Bread,Delhi,Breakfast,495,39.6,76.8,12.5,Non-Veg
Pakhala Egg Bhurji Paratha,Odisha,Breakfast,471,35.1,61.2,17.7,Non-Veg
Eggy Poha And Curd,Tamil Nadu,Breakfast,389,23.8,47.3,13.6,Non-Veg
Keema Paratha And Salad,Madhya Pradesh,Breakfast,368,39.1,52.7,10.6,Non-Veg
Egg Dosa Special With Chapati,Andhra Pradesh,Breakfast,347,29.3,55.9,10.6,Non-Veg
Makki Chicken Kheema Sandwich Special,Punjab,Breakfast,574,20.4,78.2,17.7,Non-Veg
Keema Paratha And Curd,Bihar,Breakfast,340,24.3,48.4,12.9,Non-Veg
Madhya Pradesh Style Fish Fry With Bread Delight,Madhya Pradesh,Breakfast,509,39.8,79.0,16.7,Non-Veg
Egg Dosa Special With Curd,Odisha,Breakfast,404,33.2,50.1,14.1,Non-Veg
Egg Bhurji Paratha Lite With Pickle,Assam,Breakfast,497,41.7,69.1,14.9,Non-Veg
Fish Fry With Bread Classic With Salad,West Bengal,Breakfast,389,27.7,46.2,12.3,Non-Veg
Vawksa Anda Uttapam Special,Mizoram,Breakfast,437,21.2,63.9,12.8,Non-Veg
Kheera Eggy Poha,Haryana,Breakfast,473,38.5,73.8,17.2,Non-Veg
Egg Dosa Lite With Curd,Karnataka,Breakfast,529,27.1,73.7,18.5,Non-Veg
Axone Keema Paratha Special,Nagaland,Breakfast,503,39.1,62.7,13.6,Non-Veg
Eggy Poha Special With Curd,Sikkim,Breakfast,398,41.7,55.8,11.4,Non-Veg
Maharashtra Style Fish Fry With Bread Lite,Maharashtra,Breakfast,306,36.4,35.4,11.1,Non-Veg
Fish Fry With Bread And Sambar,Jharkhand,Breakfast,468,37.9,57.2,13.4,Non-Veg
Khlem Anda Uttapam,Meghalaya,Breakfast,436,35.6,54.1,15.8,Non-Veg
Uttarakhand Style Egg Bhurji Paratha Lite,Uttarakhand,Breakfast,353,32.9,52.3,10.2,Non-Veg
Maskaa Chicken Kheema Sandwich,Assam,Breakfast,476,44.7,60.2,12.6,Non-Veg
Singju Egg Bhurji Paratha,Manipur,Breakfast,572,25.3,79.7,16.2,Non-Veg
Kosambari Keema Paratha Special,Karnataka,Breakfast,582,22.7,84.2,19.2,Non-Veg
Madra Fish Fry With Bread,Himachal Pradesh,Breakfast,363,23.7,49.1,11.1,Non-Veg
Kang Egg Bhurji Paratha Special,Manipur,Breakfast,590,34.5,95.5,18.3,Non-Veg
Bai Anda Uttapam Special,Mizoram,Breakfast,546,34.5,65.1,16.5,Non-Veg
Fish Fry With Bread And Salad,Punjab,Breakfast,419,20.9,49.0,14.4,Non-Veg
Chicken Kheema Sandwich And Curd,Jharkhand,Breakfast,367,42.6,56.5,12.1,Non-Veg
Keema Paratha Delight With Raita,Chhattisgarh,Breakfast,590,39.8,70.8,14.2,Non-Veg
Phagshapa Eggy Poha Special,Sikkim,Breakfast,380,43.6,53.5,14.7,Non-Veg
Koddel Fish Fry With Bread Special,Goa,Breakfast,585,43.1,70.7,14.2,Non-Veg
Punjab Style Egg Dosa Delight,Punjab,Breakfast,301,20.4,44.3,8.6,Non-Veg
Odisha Style Keema Paratha Classic,Odisha,Breakfast,585,43.0,85.6,20.0,Non-Veg
Katancha Egg Dosa Special,Andhra Pradesh,Breakfast,490,29.6,57.4,11.4,Non-Veg
Smoked Anda Uttapam Special,Nagaland,Breakfast,424,36.0,49.5,13.0,Non-Veg
Fish Fry With Bread And Poriyal,Kerala,Breakfast,370,24.9,47.3,13.6,Non-Veg
Chhattisgarh Style Egg Bhurji Paratha Delight,Chhattisgarh,Breakfast,308,31.4,46.2,11.5,Non-Veg
Kothavarangai Egg Bhurji Paratha,Tamil Nadu,Breakfast,494,30.9,57.4,11.1,Non-Veg
Egg Dosa And Steamed Rice,Tripura,Breakfast,516,26.7,60.0,19.2,Non-Veg
Sattu Egg Bhurji Paratha,Bihar,Breakfast,415,44.7,46.7,12.3,Non-Veg
Egg Dosa And Rasam,Uttar Pradesh,Breakfast,540,21.0,77.4,15.3,Non-Veg
Fish Fry With Bread Classic With Poriyal,Jammu and Kashmir,Breakfast,403,27.4,48.2,12.5,Non-Veg
Chila Chicken Kheema Sandwich Special,Chhattisgarh,Breakfast,535,39.6,74.3,16.7,Non-Veg
Nadru Chicken Kheema Sandwich Special,Jammu and Kashmir,Breakfast,570,44.9,82.9,17.3,Non-Veg
Dhuska Egg Dosa,Jharkhand,Breakfast,519,24.5,70.2,12.2,Non-Veg
Madhya Pradesh Style Keema Paratha Delight,Madhya Pradesh,Breakfast,311,43.6,37.1,11.5,Non-Veg
Egg Bhurji Paratha And Rasam,Mizoram,Breakfast,395,29.5,50.4,9.3,Non-Veg
Parathas Egg Dosa Special,Delhi,Breakfast,536,29.0,74.0,20.6,Non-Veg
Keema Paratha And Salad,Andhra Pradesh,Breakfast,346,36.8,41.3,9.4,Non-Veg
Jharkhand Style Anda Uttapam Lite,Jharkhand,Breakfast,582,23.6,68.1,19.8,Non-Veg
Anda Uttapam And Curd,Bihar,Breakfast,372,35.1,50.7,11.4,Non-Veg
Karnataka Style Keema Paratha Lite,Karnataka,Breakfast,487,26.7,58.0,17.5,Non-Veg
Cholar Eggy Poha,West Bengal,Breakfast,463,30.9,63.8,10.3,Non-Veg
Anda Uttapam Special With Papad,Chhattisgarh,Breakfast,594,20.5,88.6,13.8,Non-Veg
Ghugni Anda Uttapam,Bihar,Breakfast,535,24.3,82.3,14.4,Non-Veg
Keema Paratha Classic With Curd,Delhi,Breakfast,467,42.2,73.2,12.6,Non-Veg
Egg Dosa And Steamed Rice,Kerala,Breakfast,393,24.0,49.4,11.7,Non-Veg
Anda Uttapam And Poriyal,Karnataka,Breakfast,491,20.2,56.9,17.3,Non-Veg
Jammu And Kashmir Style Eggy Poha Classic,Jammu and Kashmir,Breakfast,490,44.4,70.1,17.8,Non-Veg
Uttarakhand Style Fish Fry With Bread Delight,Uttarakhand,Breakfast,518,22.0,81.1,17.9,Non-Veg
Fish Fry With Bread And Rasam,Rajasthan,Breakfast,402,21.1,54.5,14.4,Non-Veg
Chhattisgarh Style Egg Bhurji Paratha Traditional,Chhattisgarh,Breakfast,344,41.9,48.6,9.4,Non-Veg
Mosdeng Egg Bhurji Paratha,Tripura,Breakfast,372,39.9,51.6,10.8,Non-Veg
Chicken Kheema Sandwich Delight With Pickle,Jammu and Kashmir,Breakfast,431,27.0,58.7,10.4,Non-Veg
Punjab Style Eggy Poha Lite,Punjab,Breakfast,563,43.1,90.9,14.4,Non-Veg
Bajre Fish Fry With Bread Special,Haryana,Breakfast,336,20.9,43.4,8.3,Non-Veg
Anda Chicken Kheema Sandwich Special,Mizoram,Breakfast,393,21.7,61.7,10.1,Non-Veg
Singodi Fish Fry With Bread,Uttarakhand,Breakfast,423,28.4,67.0,12.4,Non-Veg
Keera Keema Paratha,Kerala,Breakfast,519,31.2,73.7,13.4,Non-Veg
Bamboo Egg Bhurji Paratha,Tripura,Breakfast,580,27.6,70.4,20.6,Non-Veg
Ghugni Fish Fry With Bread,Bihar,Breakfast,324,28.3,37.3,11.6,Non-Veg
Himachal Pradesh Style Egg Bhurji Paratha Homestyle,Himachal Pradesh,Breakfast,471,28.8,61.6,13.6,Non-Veg
Chicken Kheema Sandwich Special With Rasam,Gujarat,Breakfast,576,43.4,90.8,15.9,Non-Veg
Chakko Keema Paratha,Kerala,Breakfast,352,42.2,41.4,8.3,Non-Veg
Bendakaya Keema Paratha Special,Andhra Pradesh,Breakfast,309,23.6,47.2,10.5,Non-Veg
Eggy Poha And Steamed Rice,Madhya Pradesh,Breakfast,390,24.2,44.3,13.3,Non-Veg
Cholar Anda Uttapam,West Bengal,Breakfast,390,45.0,61.3,13.0,Non-Veg
Himachal Pradesh Style Egg Dosa Traditional,Himachal Pradesh,Breakfast,409,41.6,65.0,15.3,Non-Veg
Cholar Fish Fry With Bread Special,West Bengal,Breakfast,473,20.8,59.9,18.0,Non-Veg
Egg Dosa And Curd,Assam,Breakfast,581,21.2,75.6,20.1,Non-Veg
Manipur Style Egg Bhurji Paratha Special,Manipur,Breakfast,324,20.2,42.8,12.4,Non-Veg
Dhuska Anda Uttapam,Jharkhand,Breakfast,596,23.0,75.3,14.5,Non-Veg
Anda Uttapam And Dal,Kerala,Breakfast,445,21.6,62.1,14.5,Non-Veg
Egg Dosa Classic With Rasam,Himachal Pradesh,Breakfast,389,44.0,50.7,13.6,Non-Veg
Keerai Egg Bhurji Paratha Special,Rajasthan,Breakfast,485,29.7,55.4,14.1,Non-Veg
Xaak Chicken Kheema Sandwich Special,Assam,Breakfast,503,34.3,80.3,18.8,Non-Veg
Jammu And Kashmir Style Egg Dosa Lite,Jammu and Kashmir,Breakfast,524,31.9,60.1,17.7,Non-Veg
Keerai Keema Paratha Special,Rajasthan,Breakfast,364,37.9,58.4,12.1,Non-Veg
Bore Fish Fry With Bread,Chhattisgarh,Breakfast,491,41.5,55.7,14.1,Non-Veg
Keema Paratha Special With Pickle,Madhya Pradesh,Breakfast,411,24.0,53.4,9.2,Non-Veg
Anda Uttapam And Salad,Assam,Breakfast,500,24.6,58.9,15.6,Non-Veg
Maharashtra Style Chicken Kheema Sandwich Classic,Maharashtra,Breakfast,376,25.5,46.5,10.4,Non-Veg
Andhra Pradesh Style Egg Dosa Special,Andhra Pradesh,Breakfast,515,41.0,59.1,13.5,Non-Veg
Shyaphale Fish Fry With Bread Special,Sikkim,Breakfast,429,26.1,51.5,16.0,Non-Veg
Keema Paratha And Raita,Karnataka,Breakfast,303,27.0,44.4,11.6,Non-Veg
Khatta Keema Paratha,Himachal Pradesh,Breakfast,530,28.1,74.6,13.4,Non-Veg
Patal Chicken Kheema Sandwich Special,Maharashtra,Breakfast,502,21.2,80.4,13.2,Non-Veg
Fish Fry With Bread Delight With Chapati,Manipur,Breakfast,534,29.3,74.0,12.6,Non-Veg
Madhya Pradesh Style Keema Paratha Special,Madhya Pradesh,Breakfast,527,22.9,80.4,19.1,Non-Veg
Soppu Eggy Poha Special,Rajasthan,Breakfast,520,37.5,62.9,17.2,Non-Veg
Eggy Poha Classic With Pickle,Jharkhand,Breakfast,363,33.1,57.4,12.4,Non-Veg
Eromba Egg Bhurji Paratha Special,Manipur,Breakfast,357,32.6,43.9,10.1,Non-Veg
Jammu And Kashmir Style Chicken Kheema Sandwich Classic,Jammu and Kashmir,Breakfast,537,37.3,73.0,18.2,Non-Veg
Mirapakaya Keema Paratha Special,Andhra Pradesh,Breakfast,325,38.8,49.1,12.2,Non-Veg
Pitika Chicken Kheema Sandwich Special,Assam,Breakfast,492,35.2,59.2,18.4,Non-Veg
Bora Anda Uttapam Special,Assam,Breakfast,327,36.4,53.1,8.0,Non-Veg
Fish Fry With Bread And Sambar,Nagaland,Breakfast,390,33.8,55.9,12.2,Non-Veg
Fish Fry With Bread Delight With Steamed Rice,Sikkim,Breakfast,330,26.3,41.7,10.0,Non-Veg
Eggy Poha Classic With Chapati,Punjab,Breakfast,356,21.7,57.4,13.6,Non-Veg
Chicken Kheema Sandwich Delight With Steamed Rice,Chhattisgarh,Breakfast,306,23.2,44.1,11.8,Non-Veg
Eggy Poha Delight With Curd,Punjab,Breakfast,524,32.5,81.2,12.8,Non-Veg
Egg Dosa Delight With Chapati,Uttarakhand,Breakfast,321,42.5,48.3,9.8,Non-Veg
Odisha Style Egg Bhurji Paratha Homestyle,Odisha,Breakfast,400,20.1,64.7,9.3,Non-Veg
Mosdeng Fish Fry With Bread Special,Tripura,Breakfast,535,28.9,84.3,12.7,Non-Veg
Anda Uttapam Special With Steamed Rice,Jammu and Kashmir,Breakfast,382,44.8,44.7,12.8,Non-Veg
Punjab Style Eggy Poha Homestyle,Punjab,Breakfast,320,41.5,38.5,11.1,Non-Veg
Goa Style Anda Uttapam Delight,Goa,Breakfast,577,40.5,66.8,16.5,Non-Veg
Batata Anda Uttapam Special,Maharashtra,Breakfast,360,30.5,40.8,8.3,Non-Veg
Ghugni Chicken Kheema Sandwich,Bihar,Breakfast,320,29.6,47.2,12.1,Non-Veg
Bengalgram Chicken Kheema Sandwich Special,Karnataka,Breakfast,330,27.6,41.9,11.5,Non-Veg
Punjab Style Egg Bhurji Paratha Homestyle,Punjab,Breakfast,400,37.1,57.1,10.1,Non-Veg
Chicken Kheema Sandwich And Sambar,Rajasthan,Breakfast,492,24.2,60.0,17.9,Non-Veg
Anda Uttapam And Chutney,Bihar,Breakfast,375,26.4,56.9,12.5,Non-Veg
Khatta Fish Fry With Bread,Himachal Pradesh,Breakfast,436,36.8,51.3,13.4,Non-Veg
Goa Style Eggy Poha Homestyle,Goa,Breakfast,350,38.5,55.7,8.6,Non-Veg
Vellarikka Eggy Poha,Rajasthan,Breakfast,592,37.1,74.4,15.1,Non-Veg
Fish Fry With Bread Traditional With Chapati,Uttar Pradesh,Breakfast,535,44.4,65.2,15.1,Non-Veg
Kosha Egg Bhurji Paratha Special,Kerala,Breakfast,433,43.7,69.3,9.9,Non-Veg
Tripura Style Anda Uttapam Traditional,Tripura,Breakfast,570,32.5,64.9,22.0,Non-Veg
Egg Bhurji Paratha And Chapati,Punjab,Breakfast,437,32.5,66.6,12.6,Non-Veg
Bora Eggy Poha,Tripura,Breakfast,422,30.9,59.4,16.3,Non-Veg
Keema Paratha And Roti,Punjab,Breakfast,495,44.1,57.3,12.7,Non-Veg
Punjab Style Anda Uttapam Traditional,Punjab,Breakfast,489,20.6,72.1,10.9,Non-Veg
Kela Fish Fry With Bread Special,Uttar Pradesh,Breakfast,474,24.6,62.8,11.7,Non-Veg
Pumaloi Egg Bhurji Paratha Special,Meghalaya,Breakfast,528,24.5,81.9,13.8,Non-Veg
Bafla Fish Fry With Bread,Madhya Pradesh,Breakfast,360,26.6,47.4,13.6,Non-Veg
Chaulai Egg Dosa,Haryana,Breakfast,426,39.8,51.3,12.4,Non-Veg
Gongura Egg Bhurji Paratha,Andhra Pradesh,Breakfast,328,31.3,43.7,10.9,Non-Veg
Madhya Pradesh Style Anda Uttapam Classic,Madhya Pradesh,Breakfast,362,32.4,50.3,10.2,Non-Veg
Maharashtra Style Anda Uttapam Lite,Maharashtra,Breakfast,581,31.2,92.0,18.3,Non-Veg
Anda Uttapam Traditional With Steamed Rice,Uttar Pradesh,Breakfast,390,30.8,61.5,13.9,Non-Veg
Egg Bhurji Paratha And Chutney,Punjab,Breakfast,399,36.1,48.2,13.2,Non-Veg
Punjab Style Eggy Poha Traditional,Punjab,Breakfast,375,25.6,50.5,11.2,Non-Veg
Keema Paratha And Poriyal,Chhattisgarh,Breakfast,399,31.7,47.1,14.9,Non-Veg
Sikkim Style Fish Fry With Bread Homestyle,Sikkim,Breakfast,574,21.6,91.2,16.3,Non-Veg
Sikkim Style Chicken Kheema Sandwich Delight,Sikkim,Breakfast,547,41.4,66.4,13.3,Non-Veg
Bathua Anda Uttapam,Haryana,Breakfast,361,30.6,51.5,9.4,Non-Veg
Chhattisgarh Style Eggy Poha Homestyle,Chhattisgarh,Breakfast,570,40.2,83.9,17.4,Non-Veg
Egg Dosa Homestyle With Raita,Maharashtra,Breakfast,477,28.8,57.3,16.8,Non-Veg
Maharashtra Style Eggy Poha Delight,Maharashtra,Breakfast,594,38.2,92.2,21.0,Non-Veg
Ghugni Anda Uttapam,West Bengal,Breakfast,409,42.7,49.0,10.1,Non-Veg
Fish Fry With Bread And Chapati,Tripura,Breakfast,397,42.3,56.6,10.0,Non-Veg
Egg Bhurji Paratha And Roti,Haryana,Breakfast,415,23.2,55.5,9.8,Non-Veg
Egg Dosa And Chutney,West Bengal,Breakfast,582,44.4,66.8,14.8,Non-Veg
Jharkhand Style Keema Paratha Delight,Jharkhand,Breakfast,402,29.5,47.2,12.2,Non-Veg
Telangana Style Keema Paratha Classic,Telangana,Breakfast,413,42.3,58.0,13.0,Non-Veg
Maharashtra Style Eggy Poha Lite,Maharashtra,Breakfast,522,43.1,78.6,16.2,Non-Veg
Fish Fry With Bread And Raita,Punjab,Breakfast,526,38.8,62.6,13.5,Non-Veg
Eggy Poha Lite With Curd,Gujarat,Breakfast,560,20.4,66.0,18.1,Non-Veg
Chhole Anda Uttapam,Punjab,Breakfast,589,23.9,90.3,22.8,Non-Veg
Fish Fry With Bread Traditional With Chapati,Sikkim,Breakfast,507,21.4,61.7,18.8,Non-Veg
Baingan Anda Uttapam,Uttar Pradesh,Breakfast,545,41.6,68.0,19.9,Non-Veg
Andhra Pradesh Style Chicken Kheema Sandwich Lite,Andhra Pradesh,Breakfast,551,26.9,84.8,12.3,Non-Veg
Egg Bhurji Paratha Special With Salad,Manipur,Breakfast,587,28.1,66.4,19.5,Non-Veg
Fish Fry With Bread And Poriyal,Rajasthan,Breakfast,329,32.7,41.7,9.5,Non-Veg
Fish Fry With Bread And Poriyal,Chhattisgarh,Breakfast,460,38.3,69.9,10.6,Non-Veg
Baingan Egg Bhurji Paratha Special,Uttar Pradesh,Breakfast,334,29.2,44.7,11.4,Non-Veg
Avarekai Egg Dosa Special,Karnataka,Breakfast,439,20.4,69.9,10.4,Non-Veg
Zu Keema Paratha Special,Nagaland,Breakfast,530,33.7,69.1,13.4,Non-Veg
Assam Style Fish Fry With Bread Traditional,Assam,Breakfast,386,30.9,46.5,8.7,Non-Veg
Fish Fry With Bread And Curd,Jharkhand,Breakfast,345,23.7,40.1,8.8,Non-Veg
